_id,idx,series,kode_wilayah,wilayah,tahun,triwulan,bulan,tanggal,nilai,target
170,169,Produksi Daging Ayam Ras Petelur menurut Provinsi_,19,Kepulauan Bangka Belitung,2016,,,,41,
171,170,Produksi Daging Ayam Ras Petelur menurut Provinsi_,21,Kepulauan Riau,2000,,,,,
172,171,Produksi Daging Ayam Ras Petelur menurut Provinsi_,21,Kepulauan Riau,2001,,,,,
173,172,Produksi Daging Ayam Ras Petelur menurut Provinsi_,21,Kepulauan Riau,2002,,,,,
174,173,Produksi Daging Ayam Ras Petelur menurut Provinsi_,21,Kepulauan Riau,2003,,,,,
175,174,Produksi Daging Ayam Ras Petelur menurut Provinsi_,21,Kepulauan Riau,2004,,,,,
176,175,Produksi Daging Ayam Ras Petelur menurut Provinsi_,21,Kepulauan Riau,2005,,,,88,
177,176,Produksi Daging Ayam Ras Petelur menurut Provinsi_,21,Kepulauan Riau,2006,,,,212,
178,177,Produksi Daging Ayam Ras Petelur menurut Provinsi_,21,Kepulauan Riau,2007,,,,216,
179,178,Produksi Daging Ayam Ras Petelur menurut Provinsi_,21,Kepulauan Riau,2008,,,,221,
180,179,Produksi Daging Ayam Ras Petelur menurut Provinsi_,21,Kepulauan Riau,2009,,,,165,
181,180,Produksi Daging Ayam Ras Petelur menurut Provinsi_,21,Kepulauan Riau,2010,,,,190,
182,181,Produksi Daging Ayam Ras Petelur menurut Provinsi_,21,Kepulauan Riau,2011,,,,194,
183,182,Produksi Daging Ayam Ras Petelur menurut Provinsi_,21,Kepulauan Riau,2012,,,,182,
184,183,Produksi Daging Ayam Ras Petelur menurut Provinsi_,21,Kepulauan Riau,2013,,,,307,
185,184,Produksi Daging Ayam Ras Petelur menurut Provinsi_,21,Kepulauan Riau,2014,,,,285,
186,185,Produksi Daging Ayam Ras Petelur menurut Provinsi_,21,Kepulauan Riau,2015,,,,352,
187,186,Produksi Daging Ayam Ras Petelur menurut Provinsi_,21,Kepulauan Riau,2016,,,,399,
188,187,Produksi Daging Ayam Ras Petelur menurut Provinsi_,31,DKI Jakarta,2000,,,,23,
189,188,Produksi Daging Ayam Ras Petelur menurut Provinsi_,31,DKI Jakarta,2001,,,,11525,
190,189,Produksi Daging Ayam Ras Petelur menurut Provinsi_,31,DKI Jakarta,2002,,,,10980,
