_id,idx,series,kode_wilayah,wilayah,tahun,triwulan,bulan,tanggal,nilai,target
369,368,Produksi Daging Ayam Ras Petelur menurut Provinsi_,62,Kalimantan Tengah,2011,,,,11,
370,369,Produksi Daging Ayam Ras Petelur menurut Provinsi_,62,Kalimantan Tengah,2012,,,,29,
371,370,Produksi Daging Ayam Ras Petelur menurut Provinsi_,62,Kalimantan Tengah,2013,,,,41,
372,371,Produksi Daging Ayam Ras Petelur menurut Provinsi_,62,Kalimantan Tengah,2014,,,,21,
373,372,Produksi Daging Ayam Ras Petelur menurut Provinsi_,62,Kalimantan Tengah,2015,,,,35,
374,373,Produksi Daging Ayam Ras Petelur menurut Provinsi_,62,Kalimantan Tengah,2016,,,,35,
375,374,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2000,,,,261,
376,375,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2001,,,,284,
377,376,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2002,,,,221,
378,377,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2003,,,,824,
379,378,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2004,,,,305,
380,379,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2005,,,,197,
381,380,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2006,,,,722,
382,381,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2007,,,,641,
383,382,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2008,,,,1158,
384,383,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2009,,,,1485,
385,384,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2010,,,,1886,
386,385,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2011,,,,1329,
387,386,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2012,,,,2088,
388,387,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2013,,,,1529,
389,388,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2014,,,,3143,
390,389,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2015,,,,2202,
391,390,Produksi Daging Ayam Ras Petelur menurut Provinsi_,63,Kalimantan Selatan,2016,,,,2722,
392,391,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2000,,,,395,
393,392,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2001,,,,180,
394,393,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2002,,,,212,
395,394,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2003,,,,406,
396,395,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2004,,,,265,
397,396,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2005,,,,314,
398,397,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2006,,,,331,
399,398,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2007,,,,354,
400,399,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2008,,,,426,
401,400,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2009,,,,469,
402,401,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2010,,,,1420,
403,402,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2011,,,,1420,
404,403,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2012,,,,716,
405,404,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2013,,,,553,
406,405,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2014,,,,310,
407,406,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2015,,,,436,
408,407,Produksi Daging Ayam Ras Petelur menurut Provinsi_,64,Kalimantan Timur,2016,,,,515,
409,408,Produksi Daging Ayam Ras Petelur menurut Provinsi_,65,Kalimantan Utara,2000,,,,,
410,409,Produksi Daging Ayam Ras Petelur menurut Provinsi_,65,Kalimantan Utara,2001,,,,,
411,410,Produksi Daging Ayam Ras Petelur menurut Provinsi_,65,Kalimantan Utara,2002,,,,,
